sample,accession
S037,O08XF7KR
S037,O0Z3NX3J
S037,Q9WYZX4G
S037,A0ALPU0DS
S037,P02D5EMP
S037,P0BJ17ML
S037,A0AH811KH
S037,Q9V1XG15
S037,Q9V7LN2I
S037,O0832EJ4
S037,Q9KAMUGF
S037,P0EN606Y
S038,Q9ZZPQKA
S038,P00PVN9I
S038,Q923GDP1
S038,P0Q5C34G
S038,P0W9XA3T
S038,A0A7EEDTR
S038,O0DJE15A
S038,Q9JEK5RB
S038,A0APY6B2S
S038,Q9QJJA2S
S038,O04HNRIW
S038,P03J3R3V
S038,A0A3DD039
S038,Q92W37DG
S038,P0FCPKJD
S038,O0EKKBP3
S038,A0AD6VASP
S039,A0AVBDIV9
S039,P00PVN9I
S039,O0DBDW21
S039,A0AVREN9T
S039,O0Q0Y9DZ
S039,A0AQ99CHQ
S039,Q9PBN78C
S039,P0SWM31T
S039,O03T60RQ
S039,O0C3O18B
S039,O0XR2DHP
S039,P0XNTM99
S039,O0PV60VB
S039,A0A1GSPK1
S039,Q9JEK5RB
S039,A0ALPU0DS
S039,P0Q8CROG
S039,A0A8VMUH4
S039,A0ARPETI9
S039,P0YUP126
S039,P0ILDZMJ
S039,P0IXDU1I
S040,A0AVBDIV9
S040,A0A9NT3WX
S040,Q9ZBIKCO
S040,O0Q0Y9DZ
S040,P0IOYKLE
S040,O0XN0GUZ
S040,Q9XA11D1
S040,O0C3O18B
S040,A0AIY4VAR
S040,A0A1GSPK1
S040,Q9W790PG
S040,A0ALPU0DS
S040,Q9P84DY8
S040,Q92VJ998
S040,P0Q8CROG
S040,Q9NQFLLF
S040,O011Q7UU
S040,P0YUP126
S040,P0QS3D62
S040,P07OONNF
S040,P0NUVY8X
S041,A0AVBDIV9
S041,O05XFF08
S041,Q9755NF8
S041,P0VZHWJ5
S041,Q9PBN78C
S041,P0HID250
S041,P0SWM31T
S041,O0EQTUL2
S041,O03T60RQ
S041,Q9RJRNYZ
S041,O07HV3IT
S041,A0A2UBTXE
S041,A0ASGIOTP
S041,P0XNTM99
S041,P07R3OCD
S041,O0KIZZQO
S041,A0A1GSPK1
S041,Q9JEK5RB
S041,O037DIA9
S041,P06HC36T
S041,Q92VJ998
S041,O0QNVQHC
S041,P0BJ17ML
S041,O0UZPEAU
S041,P0SLQC3E
S041,Q9ZBNZ8S
S041,O0II826M
S041,P0YUP126
S041,P0CSS9TY
S041,P0IXDU1I
S041,A0AMMX3Y4
S041,P0EN606Y
S041,P09RR7SF
S041,O0B5M9JD
S042,O0D4V308
S042,A0ANQ4FMR
S042,Q923GDP1
S042,A0AXTAD1P
S042,A0ABR7TC6
S042,P064DPJA
S042,P01WJ0T1
S042,P0HID250
S042,A0AG72OYP
S042,A0ANUJZA8
S042,Q93FB9WE
S042,O0OWGZRP
S042,Q9G8SBIH
S042,Q9NFHOL3
S042,P05IQVNB
S042,A0ASGIOTP
S042,P0MQLIZU
S042,Q9J9TZE5
S042,Q91N6KV1
S042,O0DJE15A
S042,O0OGN1WD
S042,A0ASQ0OXJ
S042,A0ALPU0DS
S042,O0X4W7KX
S042,Q9P84DY8
S042,O0493WXB
S042,Q9UOFWB7
S042,A0AF1BCP1
S042,P0C5BA7U
S042,P0033IFM
S042,P0FCPKJD
S042,O06UGVSD
S042,O0D6MZSL
S042,P0N1YBWV
S042,P0CX7LXZ
S042,A0AX5WVFL
S042,P0TD44KK
S042,Q9B7R314
S042,P0EN606Y
S043,Q9ZMF8MF
S043,O0D4V308
S043,O05XFF08
S043,A0A4CC5OP
S043,P0IOYKLE
S043,Q9755NF8
S043,P0KC1MS8
S043,P07E8G8Q
S043,A0ANUJZA8
S043,O0OWGZRP
S043,Q9XA11D1
S043,A0AQ0B8IE
S043,O07HV3IT
S043,O0XR2DHP
S043,Q9J9TZE5
S043,A0A5UQPGD
S043,P07R3OCD
S043,O0OGN1WD
S043,Q9JEK5RB
S043,Q9C5WI6J
S043,P0DOJENQ
S043,Q9NN8ZTJ
S043,O0X4W7KX
S043,Q92VJ998
S043,A0AVULEM1
S043,A0A8VMUH4
S043,O0493WXB
S043,O0D6MZSL
S043,P0N1YBWV
S043,O0EKKBP3
S043,Q9KAMUGF
S043,A0AMMX3Y4
S043,P0XLVPYW
S043,Q94YPEIX
S044,A0ANQ4FMR
S044,A0ANVQJTA
S044,Q923GDP1
S044,P0Q5C34G
S044,A0AG72OYP
S044,A0AKH2VL2
S044,O0YS280F
S044,A0AXEQBNN
S044,O0L1N13Q
S044,O0Q3VLIF
S044,P05IQVNB
S044,Q91N6KV1
S044,P02WX7P8
S044,Q9X63CFT
S044,O08QOLDK
S044,O049ITN6
S044,Q95J2O76
S044,A0AQ8MYXV
S044,Q9QJJA2S
S044,A0ALPU0DS
S044,P03J3R3V
S044,O0SP2EX9
S044,A0A3DD039
S044,Q92W37DG
S044,Q9POC50O
S044,P0033IFM
S044,O0832EJ4
S044,Q93C1QKC
S045,O0D4V308
S045,Q971YZOX
S045,O0Q0Y9DZ
S045,A0AXTAD1P
S045,O0OWGZRP
S045,Q94J1RI2
S045,Q9RJRNYZ
S045,A0ASGIOTP
S045,A0A1GSPK1
S045,O0OGN1WD
S045,P0DOJENQ
S045,A0AF1BCP1
S045,Q9POC50O
S045,A0AWSQT2C
S045,A0AIPPSFX
S045,Q9ZBNZ8S
S045,O0II826M
S045,P0TD44KK
S045,O0EKKBP3
S045,Q9KAMUGF
S046,A0AAJI0Y8
S046,A0AVBDIV9
S046,Q9ZBIKCO
S046,A0AVG0FN9
S046,Q9Y41IBU
S046,O05XFF08
S046,Q971YZOX
S046,O06QICA9
S046,O0J2QP89
S046,A0AWPVS7N
S046,A0AQ99CHQ
S046,P0VZHWJ5
S046,Q97IF2G0
S046,O0M35IXZ
S046,O0XN0GUZ
S046,O03T60RQ
S046,A0A2UBTXE
S046,Q9P08J38
S046,P0XFGCA2
S046,P02WX7P8
S046,A0AIY4VAR
S046,O049ITN6
S046,O0Z3NX3J
S046,Q9W790PG
S046,Q9C5WI6J
S046,P0CJ883F
S046,Q9C1HH5V
S046,Q9P5O3OG
S046,A0A8VMUH4
S046,A0ARPETI9
S046,Q92W37DG
S046,O011Q7UU
S046,P0SLQC3E
S046,A0AWSQT2C
S046,O06UGVSD
S046,A0ALUNJ4J
S046,P08RIECG
S046,P0YUP126
S046,O0BNN0ME
S046,P0BXK5BV
S046,O0B5M9JD
S047,A0AAJI0Y8
S047,Q9ZBIKCO
S047,Q9Y41IBU
S047,A0A5KXVFK
S047,O06QICA9
S047,P064DPJA
S047,A0AE8YFBX
S047,O0M35IXZ
S047,Q9NCXLLH
S047,O0XN0GUZ
S047,Q9479T6B
S047,A0A18HAFI
S047,Q9FUK9E0
S047,P0PQKOJ8
S047,Q99IN4OU
S047,O0Z3NX3J
S047,O04HNRIW
S047,O0361I2O
S047,A0AQC1IYZ
S047,Q9XVA2II
S047,A0A8VMUH4
S047,O0VOHSMH
S047,A0AH811KH
S047,A0ALUNJ4J
S048,O0D4V308
S048,A0ANVQJTA
S048,Q9ERTJ51
S048,P0Q5C34G
S048,A0ABR7TC6
S048,P064DPJA
S048,P0SYLZTM
S048,O0YUHZ1K
S048,Q9J9TZE5
S048,O08QOLDK
S048,Q95J2O76
S048,Q9C89K8Q
S048,O04HNRIW
S048,O0EBB9EP
S048,O0SP2EX9
S048,O0D6MZSL
S048,P08RIECG
S048,A0AD6VASP
S048,Q93C1QKC
S048,P0EN606Y
S048,O0B5M9JD
S049,A0AVBDIV9
S049,Q9ZBIKCO
S049,A0AVG0FN9
S049,O05XFF08
S049,O0DBDW21
S049,A0ANVQJTA
S049,A0AYTJXE1
S049,O0J2QP89
S049,A0A4CC5OP
S049,Q97IF2G0
S049,P0FZNBQM
S049,O0M35IXZ
S049,O0XN0GUZ
S049,P0SWM31T
S049,Q93FB9WE
S049,O03T60RQ
S049,Q9479T6B
S049,O07HV3IT
S049,Q9P08J38
S049,O04GH2MR
S049,Q9FUK9E0
S049,O0KIZZQO
S049,P02WX7P8
S049,A0A1GSPK1
S049,A0ALPU0DS
S049,A0AQC1IYZ
S049,P06HC36T
S049,Q9P84DY8
S049,Q92VJ998
S049,P0AJEPEE
S049,P0Q8CROG
S049,A0A8VMUH4
S049,A0ARPETI9
S049,O0UZPEAU
S049,P02CWTGW
S049,A0ALUNJ4J
S049,P0CX7LXZ
S049,P0QS3D62
S049,P0BXK5BV
S049,O0B5M9JD
S049,P0NUVY8X
S050,Q9Q85JSL
S050,O0Q0Y9DZ
S050,A0ABR7TC6
S050,A0AG72OYP
S050,P0SYLZTM
S050,A0A18HAFI
S050,O0Q3VLIF
S050,O049ITN6
S050,A0AQ8MYXV
S050,P09K9XJD
S050,O0SP2EX9
S050,Q92W37DG
S050,Q9POC50O
S050,P0FCPKJD
S050,O0CV3TLF
S051,A0A5KXVFK
S051,A0AVREN9T
S051,Q971YZOX
S051,P0CIYHE4
S051,O0FK8UTU
S051,A0A4CC5OP
S051,P0W9XA3T
S051,P01WJ0T1
S051,Q97IF2G0
S051,A0ADP0LV6
S051,O03T60RQ
S051,Q9NFHOL3
S051,Q9P08J38
S051,A0ASGIOTP
S051,P0XNTM99
S051,P093KMK8
S051,A0A5UQPGD
S051,P02WX7P8
S051,O0PV60VB
S051,A0AIY4VAR
S051,A0A1GSPK1
S051,P0ORXO1C
S051,O0OGN1WD
S051,O08XF7KR
S051,O08E8LD2
S051,A0ALPU0DS
S051,O0QNVQHC
S051,P0Q8CROG
S051,P0WVZNVS
S051,A0A8VMUH4
S051,O0493WXB
S051,P0BJ17ML
S051,Q9UOFWB7
S051,P0YVSLHD
S051,O0UZPEAU
S051,P02CWTGW
S051,Q9V1XG15
S051,A0AXPNNGN
S051,P0CSS9TY
S051,O0BNN0ME
S051,P0NUVY8X
S052,Q9ZZPQKA
S052,O0JH75L5
S052,A0A5KXVFK
S052,A0AXTAD1P
S052,A0ABR7TC6
S052,P0W9XA3T
S052,P01WJ0T1
S052,A0ADP0LV6
S052,P0SYLZTM
S052,Q93FB9WE
S052,O0EQTUL2
S052,O0YUHZ1K
S052,A0A2FLU7Y
S052,A0ASGIOTP
S052,Q91N6KV1
S052,O08QOLDK
S052,O0DJE15A
S052,Q9JEK5RB
S052,O08E8LD2
S052,A0AQ8MYXV
S052,O04HNRIW
S052,P00GET87
S052,P03J3R3V
S052,O037DIA9
S052,P0YVSLHD
S052,P0033IFM
S052,O06UGVSD
S052,O0D6MZSL
S052,Q9ZBNZ8S
S052,P0TD44KK
S052,O0EKKBP3
S052,Q9KAMUGF
S052,A0AMMX3Y4
S052,P09RR7SF
S053,A0AAJI0Y8
S053,A0A9NT3WX
S053,Q9Y41IBU
S053,A0AYTJXE1
S053,Q9VAZCCC
S053,P02DGTFL
S053,A0AWPVS7N
S053,Q97IF2G0
S053,P0FZNBQM
S053,Q9NCXLLH
S053,O0XN0GUZ
S053,P0SWM31T
S053,O0OWGZRP
S053,Q9479T6B
S053,A0A18HAFI
S053,P093KMK8
S053,Q9FUK9E0
S053,P0XFGCA2
S053,P02WX7P8
S053,Q9X63CFT
S053,A0A1GSPK1
S053,Q9QRL1NU
S053,O0Z3NX3J
S053,Q9W790PG
S053,O0361I2O
S053,A0ALPU0DS
S053,A0AQC1IYZ
S053,P06HC36T
S053,Q9XVA2II
S053,Q9P5O3OG
S053,A0AVULEM1
S053,A0A8VMUH4
S053,Q9NQFLLF
S053,O0VOHSMH
S053,A0AH811KH
S053,A0ALUNJ4J
S053,O0BNN0ME
S053,P0IXDU1I
S053,Q93C1QKC
S054,Q9ZZPQKA
S054,O0D4V308
S054,A0ANQ4FMR
S054,A0ANVQJTA
S054,Q9Q85JSL
S054,Q9C58DRE
S054,P0CIYHE4
S054,P0Q5C34G
S054,Q9OR56FA
S054,A0ABR7TC6
S054,Q9755NF8
S054,P01WJ0T1
S054,P0HID250
S054,P07E8G8Q
S054,A0ADP0LV6
S054,O0YS280F
S054,A0AXEQBNN
S054,O0L1N13Q
S054,O0YUHZ1K
S054,A0A2UBTXE
S054,O0Q3VLIF
S054,A0AIY4VAR
S054,O0DJE15A
S054,Q9ZLAOIH
S054,O049ITN6
S054,O08E8LD2
S054,O08W5RTE
S054,Q9QJJA2S
S054,P0DOJENQ
S054,Q9NN8ZTJ
S054,O0X4W7KX
S054,P0PXNF7E
S054,A0A3DD039
S054,P0BJ17ML
S054,Q9UOFWB7
S054,P07OONNF
S054,Q9B7R314
S054,O0CV3TLF
S054,P0XLVPYW
S054,A0AYOS0FB
S055,Q9Y41IBU
S055,P0IOYKLE
S055,P0KC1MS8
S055,Q9NCXLLH
S055,Q9G8SBIH
S055,Q94J1RI2
S055,O0Q3VLIF
S055,P07R3OCD
S055,P0XFGCA2
S055,P02WX7P8
S055,P0PQKOJ8
S055,Q9QRL1NU
S055,Q9P5O3OG
S055,O0VOHSMH
S055,O0832EJ4
S055,A0AD6VASP
S055,O0B5M9JD
S055,A0AYOS0FB
S056,Q9ZMF8MF
S056,O0DBDW21
S056,Q971YZOX
S056,P0W9XA3T
S056,P01WJ0T1
S056,P0HID250
S056,P07E8G8Q
S056,O0OWGZRP
S056,Q9NFHOL3
S056,Q9RJRNYZ
S056,O0L1N13Q
S056,A0AQ0B8IE
S056,O07HV3IT
S056,A0A2UBTXE
S056,P0APRPN3
S056,A0ASGIOTP
S056,O0OGN1WD
S056,O08E8LD2
S056,O08W5RTE
S056,O0ZP6LFI
S056,P0WVZNVS
S056,Q9UOFWB7
S056,P02CWTGW
S056,A0AWSQT2C
S056,O06UGVSD
S056,P0CX7LXZ
S056,P07OONNF
S056,Q9B7R314
S056,Q9KAMUGF
S056,P0CSS9TY
S056,Q95LLO34
S056,P0EN606Y
S057,A0ANVQJTA
S057,P0FZNBQM
S057,P0SWM31T
S057,O07HV3IT
S057,A0A08YG0R
S057,A0A5UQPGD
S057,Q9X63CFT
S057,O08QOLDK
S057,A0ALPU0DS
S057,P0Q8CROG
S057,P0SLQC3E
S057,O0BNN0ME
S057,P0EN606Y
S057,P0NUVY8X
S058,A0AVBDIV9
S058,O0D4V308
S058,Q9VAZCCC
S058,P0CIYHE4
S058,A0AQ99CHQ
S058,Q97IF2G0
S058,P0FZNBQM
S058,O0XN0GUZ
S058,Q9XA11D1
S058,O0C3O18B
S058,P05IQVNB
S058,P0XNTM99
S058,O0PV60VB
S058,P0ORXO1C
S058,A0ALPU0DS
S058,P06HC36T
S058,P0AJEPEE
S058,O0UZPEAU
S058,P0SLQC3E
S058,Q9ZBNZ8S
S058,P0ILDZMJ
S058,Q9B7R314
S058,Q93C1QKC
S058,P0EN606Y
S058,O0B5M9JD
S058,P0NUVY8X
S059,Q9ZMF8MF
S059,O0D4V308
S059,O0FK8UTU
S059,A0AE8YFBX
S059,P0HID250
S059,A0ADP0LV6
S059,Q9G8SBIH
S059,O0EQTUL2
S059,A0AQ0B8IE
S059,Q99IN4OU
S059,A0ASQ0OXJ
S059,P00GET87
S059,O0X4W7KX
S059,Q9C1HH5V
S059,P0BJ17ML
S059,P0CX7LXZ
S059,A0AXPNNGN
S059,P0NUVY8X
